# /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T120844-plone-4.0 vs /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T165844-plip9259-group-dashboards.cfg
# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T120844-plone-4.0
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
2 1.508 4.000 181 181 0.00 0.009 0.232 2.331 0.011 0.105 0.628 0.673 2 1.508 6.000 181 181 0.00 0.009 0.260 2.457 0.011 0.097 0.736 1.045
3 2.108 4.000 253 253 0.00 0.009 0.278 3.919 0.019 0.121 0.681 0.910 3 2.217 6.000 266 266 0.00 0.009 0.316 5.025 0.015 0.114 0.862 1.220
5 3.108 7.000 373 373 0.00 0.009 0.511 6.759 0.044 0.224 1.144 2.128 5 3.050 8.000 367 366 0.27 0.009 0.519 10.479 0.047 0.187 1.224 2.134
10 3.625 11.000 451 435 3.55 0.009 1.185 11.753 0.133 0.735 3.207 3.961 10 3.367 11.000 417 404 3.12 0.010 1.364 14.953 0.116 0.644 3.589 5.646


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T120844-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T165844-plip9259-group-dashboards.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 RPS-2 maxRPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 1.017 3.000 122 122 0.00 0.009 0.158 0.581 0.010 0.117 0.287 0.459 1 1.042 3.000 125 125 0.00 0.006 0.146 1.078 0.009 0.091 0.312 0.456
2 1.908 5.000 229 229 0.00 0.008 0.184 1.639 0.010 0.126 0.429 0.480 2 2.050 7.000 246 246 0.00 0.006 0.191 2.231 0.009 0.094 0.439 0.630
3 2.658 6.000 319 319 0.00 0.008 0.220 3.919 0.011 0.126 0.468 0.633 3 3.017 8.000 362 362 0.00 0.006 0.232 4.719 0.010 0.108 0.499 0.846
5 3.925 7.000 471 471 0.00 0.008 0.404 6.426 0.031 0.227 0.711 1.440 5 4.142 9.000 497 496 0.20 0.006 0.385 10.164 0.015 0.176 0.743 1.376
10 4.475 11.000 537 521 2.98 0.009 1.324 15.110 0.130 0.730 2.423 4.297 10 4.525 11.000 543 530 2.39 0.006 1.327 17.879 0.097 0.539 2.885 4.706
